product_id	rating	buyer_nickname
0	5	IshaShi
0	4	mmaheras808
0	3	entirelycoco
0	2	whitfordmjc
0	1	dreacanela
0	3	jesuslovesyou
0	5	lindsspatterson
0	4	sundara
0	3	jacynyu
0	2	Knokie
0	1	izzimizzi
0	4	MissEllieM
0	5	sprout8080
0	4	LMD219
0	3	yasminej141
0	2	SLFox0309
0	1	SHELLEEZ
0	5	LoriYng
0	5	nicmac65
0	4	PoojaRamchandan
0	3	CindyLouBlock
0	2	Sovushka2294
0	1	simpleone
0	4	mudraxe
0	5	madelinaf
0	4	dml808
0	3	mmarrianne
0	2	Marband1
0	1	ryyy
0	1	ava123
0	5	mopograce
0	4	kimmi204
0	3	lunalace
0	2	kaymuc420
0	1	LoreAlexandra
0	4	bri3281
0	5	lindsay10aski
0	4	JesslovesJ
0	3	anteater17
0	2	malgal17
0	1	nonni91
0	4	LadyMegalynn
0	5	kwasen
0	4	Zooe
0	3	Abygurl
0	2	xmacyoof
0	1	Syl85
0	4	vm278
0	5	MaruMaru99
0	4	ZanetaT
0	3	Tash2213
0	2	OriotgrrrlO
0	1	EesmeM
0	5	kt133
0	5	Izzyh88
0	4	Addmoreleg
0	3	MedicatedNeko
0	2	rellyz
0	1	rachel0123
0	5	Doombunny321
0	5	jennaadragna
0	4	ellmitch
0	3	Lindssy
0	2	MeeshL23
0	1	Des9012
0	5	EvieX3
0	5	ramo23
0	4	farrellkat81
0	3	lilmochi2020
0	2	DanniDi
0	1	maskcura
0	5	Samrinhabbani
0	5	courtneylr
0	4	RaynebowBryte
0	3	Misyel14
0	2	kat111395
0	1	MicroMeow
0	5	collegecarli
0	5	BambiOrtiz
0	4	andrea1218
0	3	ybat
0	2	MNTraveler
0	1	flawlesssss
0	5	Tylorj
0	4	Astro41612
0	3	HannahT16
0	2	HAkehi
0	1	faeriegirl
0	5	alyssa3638
0	5	misstexasss
0	4	modernvoodoo
0	3	rreesee
0	2	greenoak1
0	1	pauliefolie
0	5	VonL
0	5	Hscox94
0	4	ChristaKH
0	3	ediebrowne
0	2	witchyempath
0	1	dssspipp
0	5	sarasmithann
0	5	alyssasclee
0	4	4457
0	3	jalexwood19
0	2	xocelestexo
0	1	LuxWay
0	5	NaomiMae
0	5	scarbeauty
0	4	cfd416
0	3	Melissatakatsch
0	2	aerumnae
0	1	annavyse
0	5	Brooke63
0	5	StefTreff
0	4	fnchn
0	3	HotPotatoe
0	2	AJIniguez
0	1	AshesAshes723
0	4	Giraffesberger
1	5	mablanc
1	4	colleenganin
1	3	lindsspatterson
1	2	DKGil
1	1	Reyaa
1	5	lytata
1	5	SheBeMom
1	4	Nuttycase
1	3	belenselassie
1	2	eecaeeca
1	1	pottery19
1	5	dannilagamon
1	5	Olliec3189
1	4	Beomii
1	3	lolitabunny
1	2	kkaayyllaa25
1	1	wkahn
1	3	lebasi4
1	5	queenoflogo
1	4	corailt03
1	3	Richi9
1	2	momskin
1	1	alya207
1	5	abclaire92
1	5	mdmartinez4
1	4	BellaValen
1	3	Pandamic
1	2	ktkiran
1	1	MrsPahle
1	3	Marband1
1	5	pekhan
1	4	thedani
1	3	Ibster40
1	2	kittie2karen
1	1	tikotiko
1	5	livvvm
1	5	Emmorris98
1	4	gblxv
1	3	Hattaavah
1	2	pinkylady15
1	1	MelMarAlv
1	1	MCRFanForLifex
1	5	AshleeA2020
1	4	BiancaChris
1	3	sjuju
1	2	Dija82
1	1	Fload
1	5	kathrynokain
1	5	Shel06
1	4	Esoo
1	3	Applesass
1	2	kitty425
1	1	gabbylemus1990
1	5	Haynurs
1	5	akglowjunkie
1	4	JessicaMarie915
1	3	Masy17
1	2	chhg
1	1	GraceBaile
1	2	teosto
1	5	akshal
1	4	americarose
1	3	alicia2599
1	2	karahj11
1	1	Chicago007
1	5	MedicatedNeko
1	5	heidinazi
1	4	kfredrickson
1	3	Martslaura
1	2	PrimaDonna17
1	1	Doombunny321
1	5	ThaneG
1	5	felv7
1	4	Tina233
1	3	ChristianBK
1	2	msburton
1	1	rugger123
1	5	iamnaomi
1	5	ramo23
1	4	Cmaurat
1	3	RebecaGL
1	2	ChalseyBevers
1	1	KymberlyC
1	5	cocokitty3
1	5	dljtoronto
1	4	kkwalker123
1	3	reybay
1	2	maddierae21
1	1	NeeCJae
1	5	seerita
1	5	Kasp3rl
1	4	nightshade1144
1	3	sarahar
1	2	Gimmemymakeup
1	1	AlyssaKaala
1	3	timeless1974
1	5	jjen8081
1	4	amharper
1	3	ejberdon
1	2	Popofcolor
1	1	Bbake
1	3	deegarxia
1	5	imbabyameliaa
1	4	GabrielaPMH
1	3	FabMarlene
1	2	Ssaannddrraaa
1	1	MLynnS
1	3	kalliee98
1	5	Suzysizzle
1	4	flacakhan
1	3	raray665
1	2	stellas
1	1	Meeks74
1	5	jamch
1	5	Jorie44
1	4	shilabeauty
1	3	stephanielve
1	2	naturalpunk
1	1	NeeshNalani
